vessel,begin_date,end_date,begin_port_id,end_port_id
1,2019-01-01,2019-01-16,138.0,102.0
1,2019-01-17,2019-02-02,102.0,138.0
1,2019-02-14,2019-03-01,138.0,33.0
1,2019-03-02,2019-03-16,33.0,138.0
1,2019-03-18,2019-04-13,138.0,72.0
1,2019-04-15,2019-04-21,72.0,147.0
1,2019-05-07,2019-05-14,147.0,138.0
1,2019-05-15,2019-06-12,138.0,72.0
1,2019-06-17,2019-07-15,72.0,138.0
1,2019-07-17,2019-08-12,138.0,72.0
1,2019-08-19,2019-09-14,72.0,138.0
1,2019-09-16,2019-09-28,138.0,95.0
1,2019-10-01,2019-10-15,95.0,138.0
1,2019-10-17,2019-11-01,138.0,27.0
1,2019-11-02,2019-11-16,27.0,138.0
1,2019-11-18,2019-12-01,138.0,95.0
1,2019-12-03,2019-12-16,95.0,138.0
2,2019-01-14,2019-01-29,13.0,104.0
2,2019-01-30,2019-02-13,104.0,13.0
2,2019-02-15,2019-03-14,13.0,10.0
2,2019-03-16,2019-04-05,10.0,16.0
2,2019-04-10,2019-04-22,16.0,138.0
2,2019-04-24,2019-05-21,138.0,134.0
2,2019-05-23,2019-06-13,134.0,10.0
2,2019-07-12,2019-07-24,10.0,36.0
2,2019-07-25,2019-08-08,36.0,97.0
2,2019-08-09,2019-08-26,97.0,134.0
2,2019-08-27,2019-09-06,134.0,55.0
2,2019-09-11,2019-10-07,55.0,11.0
2,2019-10-08,2019-11-10,11.0,138.0
2,2019-11-11,2019-11-29,138.0,134.0
2,2019-11-30,2019-12-05,134.0,55.0
3,2019-01-09,2019-01-10,142.0,34.0
3,2019-01-11,2019-01-22,34.0,104.0
3,2019-01-25,2019-02-06,104.0,115.0
3,2019-02-10,2019-02-15,115.0,76.0
3,2019-02-16,2019-03-05,76.0,32.0
3,2019-03-06,2019-03-18,32.0,74.0
3,2019-03-20,2019-04-19,74.0,138.0
3,2019-04-21,2019-05-06,138.0,83.0
3,2019-05-07,2019-05-21,83.0,138.0
3,2019-05-23,2019-05-30,138.0,83.0
3,2019-05-31,2019-06-04,83.0,138.0
3,2019-06-05,2019-06-23,138.0,84.0
3,2019-06-27,2019-07-11,84.0,91.0
3,2019-07-13,2019-08-03,91.0,35.0
3,2019-08-04,2019-08-25,35.0,57.0
3,2019-08-26,2019-09-24,57.0,120.0
3,2019-10-01,2019-10-11,120.0,165.0
3,2019-10-16,2019-11-15,165.0,23.0
4,2019-01-02,2019-01-25,99.0,57.0
4,2019-01-26,2019-02-15,57.0,115.0
4,2019-02-16,2019-02-21,115.0,7.0
4,2019-02-22,2019-03-06,7.0,104.0
4,2019-03-12,2019-03-26,104.0,13.0
4,2019-03-29,2019-04-24,13.0,138.0
4,2019-04-25,2019-05-13,138.0,134.0
4,2019-05-14,2019-05-31,134.0,10.0
4,2019-06-04,2019-06-13,10.0,20.0
4,2019-06-14,2019-06-25,20.0,138.0
4,2019-06-27,2019-07-24,138.0,134.0
4,2019-07-25,2019-07-30,134.0,55.0
4,2019-08-07,2019-09-30,55.0,91.0
4,2019-10-02,2019-10-26,91.0,115.0
4,2019-10-27,2019-11-05,115.0,34.0
4,2019-11-06,2019-11-08,34.0,58.0
